Location,Property subtype,Price,Number of bedrooms,Living area,Open fireplace,Terrace,Garden,Surface area land,Number of facades,Pool,Condition
Verviers,HOUSE,296607.0,3.0,130.0,0,1,1,239.0,3,0,0
Gerpinnes,HOUSE,300000.0,0.0,270.0,0,1,1,498.0,3,0,1
Nivelles,HOUSE,195000.0,3.0,135.0,0,1,0,165.0,2,0,1
Dinant,HOUSE,175000.0,3.0,128.0,0,1,0,260.0,2,0,1
Lierde,HOUSE,415000.0,3.0,207.0,0,1,1,534.0,3,0,0
Lierde,HOUSE,405000.0,3.0,207.0,0,1,1,382.0,2,0,0
Lierde,HOUSE,415000.0,3.0,207.0,0,1,1,532.0,3,0,0
BLAASVELD,HOUSE,415000.0,3.0,194.0,0,0,1,457.0,2,0,1
Lierde,HOUSE,415000.0,3.0,207.0,0,1,1,532.0,3,0,0
Anderlecht,HOUSE,439000.0,5.0,290.0,0,1,1,142.0,2,0,1
Harelbeke,HOUSE,245000.0,3.0,161.0,0,0,0,353.0,3,0,0
Zele,HOUSE,420000.0,3.0,196.0,0,0,0,350.0,2,0,0
Hyon,HOUSE,190000.0,3.0,194.0,0,1,0,270.0,4,0,1
Frameries,HOUSE,90000.0,3.0,158.0,0,0,0,240.0,2,0,1
NEEROETEREN,HOUSE,369000.0,4.0,250.0,0,1,0,1341.0,4,1,0
Kieldrecht,HOUSE,160000.0,3.0,150.0,0,1,1,118.0,2,0,1
VELDEGEM,HOUSE,369000.0,3.0,178.0,0,0,0,2129.0,4,0,0
Harelbeke,HOUSE,285000.0,3.0,162.0,0,0,0,262.0,2,0,1
Diksmuide,HOUSE,435000.0,6.0,286.0,0,0,0,226.0,2,0,1
Stekene,HOUSE,419000.0,5.0,221.0,0,1,1,825.0,4,0,0
Aalst Moorsel,VILLA,525000.0,4.0,238.0,0,1,0,475.0,4,0,0
Dendermonde,HOUSE,349000.0,3.0,142.0,0,0,0,118.0,2,0,1
